grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
CFMOTO,347,325.39050432276656,232.3096466064453,98.04418652845047,200.88038163584852,0.6832540746430955,30.13123776691311
DFSK,174,197.65902298850574,156.22398376464844,42.42628697888605,56.22047313074315,-1.7571957352932643,21.464381609006143
CHRYSLER,102,220.90196078431373,191.08682250976562,31.883866553213082,43.792680177878125,-1.017423572220237,14.433491871239724
RODRIGUEZ LOPEZ AUTO,325,236.23664615384615,231.86122131347656,28.54425280104417,41.16556493535376,0.836650202882133,12.082906384666114
IVECO,1496,215.45909090909095,196.02711486816406,27.905858921724207,55.198522156854025,-0.29538423067263286,12.951813174361984
ISUZU,118,222.0142372881356,199.9376220703125,27.58432724257647,46.965602136142,-1.141276906290337,12.424575819782605
ADRIA,111,222.75675675675674,214.11837768554688,23.64140581010698,36.272716175891254,0.5293683182588673,10.613103797305975
CHALLENGER,100,218.77,208.0321502685547,20.476472816467286,33.191924003570975,0.5617720406046487,9.359817532782047
MAN,212,159.6809905660377,144.28024291992188,19.78398769810515,37.40829227056509,0.8793087259613929,12.38969499623894
BENIMAR,183,216.68852459016392,207.375,18.816414588136098,29.8047707655224,0.5176923529822435,8.683623013135891
¡,27560,141.96375359216256,131.31143188476562,18.596853276151702,45.708438923742804,0.6280058880231555,13.099719333695036
BERGADANA,244,216.96311475409837,212.74842834472656,18.210871899714235,28.060836361112067,0.7205663133990794,8.39353358304893
DAELIM,220,69.71818181818182,57.644561767578125,17.63439310247248,45.965204002711815,-0.5817679333532155,25.29382241846359
MONTESA,102,68.22598039215687,53.63291931152344,16.808642675362382,22.018773548862356,-10.09728433201048,24.636718415400992
GAS GAS,253,72.51018972332017,59.538116455078125,16.53007239650078,24.114621413157654,-1.0848579585912628,22.79689580123179
INDIAN MOTORCYCLE,110,131.28445454545457,116.39383697509766,15.182192152543502,18.158484242810722,-5.602193778808737,11.56434873047896
HARLEY-DAVIDSON,1109,125.28944995491433,113.87291717529297,14.85709150983365,23.857909138055348,-2.53284849797102,11.858214331039049
MERCEDES BENZ,178,151.31831460674158,143.626220703125,14.724202917720493,30.028553941689523,0.7421058270649217,9.730615197497379
SHERCO,401,67.56247880299252,58.244930267333984,14.357690972306782,20.735388842468318,-0.8682609251996276,21.25098312951603
PORSCHE,1979,191.95763011622032,187.8642120361328,14.170775535625904,24.293877764589023,0.8795901670580367,7.382241345158429
SUBARU,1171,165.82322801024765,156.07791137695312,12.60577840177958,17.097731176804025,0.21410318898693137,7.60193764953156
GUZZI,229,114.54795196506551,104.77326965332031,12.470486540548666,18.517153872706377,-0.1639347235666213,10.886695332930858
LAND ROVER,4544,167.79180237676056,166.06118774414062,12.421171324185922,21.627933260990186,0.8418938857449189,7.402728350396619
SSANGYONG,1511,169.60766379880874,161.19189453125,12.224698988626052,25.967680336741513,0.5428059912455843,7.207633614438072
MICROCAR,178,92.25280898876404,80.98246765136719,11.359654030103362,13.036628151094042,-3.359278781557266,12.313613162160639
LIGIER,265,90.66415094339622,80.33938598632812,10.987867304963885,12.882436522359443,-3.4843641794334674,12.119307566034418
VOLKSWAGEN V W,395,151.61012658227847,146.6018524169922,10.206343793265427,16.242753857288385,0.8223317061748476,6.731967067995598
DUCATI,1202,125.88183028286188,117.9439468383789,9.808338472312382,13.691273171851982,0.42326254922761053,7.7917030998616905
TRIUMPH,1647,109.5476684881603,106.81697845458984,9.785671330112072,13.728730015292996,0.04015809827070105,8.932797443488894
INFINITI,224,142.70982142857142,138.53977966308594,9.724427018846784,16.08822923937971,0.8303124966060244,6.814125980610254
CHEVROLET,2404,144.57237936772046,140.39535522460938,9.662273200696797,23.969280586305377,0.441661323513437,6.68334659978222
UM,128,62.28125,59.744842529296875,9.383111953735352,12.391270728856195,-0.050663470984568804,15.065709107854053
MERCEDES-BENZ,36485,142.72873674112648,140.3544921875,9.260899201234073,19.08380404400276,0.8441516097209708,6.4884615478878525
JEEP,4257,147.32812309137893,141.70950317382812,9.06932701488994,18.687650800408562,0.8455522171048011,6.155869513972409
APRILIA,1180,79.6793,73.46141052246094,8.950732686239986,14.175114988086627,0.7355896695478439,11.233447942238431
BETA,445,65.73728539325842,63.201324462890625,8.943095939104746,12.23158334478688,-0.043377548802293386,13.604297600067754
JAGUAR LAND ROVER LIMITED,216,153.46296296296296,157.72314453125,8.696984750253183,11.51132956235262,0.8830796005163786,5.667155502759405
AIXAM,354,81.27570621468927,75.70709228515625,8.69413404303082,16.953092228704755,-4.580837908178117,10.697088278833677
KTM,2842,85.10764250527797,84.14634704589844,8.685430979858227,17.148003619942667,0.6179771060056253,10.205230369669325
KEEWAY,1381,60.05844315713251,56.62169647216797,8.63445724012194,18.439067692970674,-0.12753978275453925,14.376758347750338
LANCIA,166,140.36746987951807,138.65191650390625,8.633367055869964,12.469029642286547,0.8895783730380273,6.150546891869079
