technique,mae,mae_std,rmse,rmse_std,r2,r2_std,cv_folds
linear,22.568607620624903,0.10051729914759536,36.8950659844362,0.24585481437532133,0.5869867331502316,0.007532677725982693,3
median,39.21951878089699,0.13445622214874198,58.30634766750856,0.20242646020814067,-0.031338345069206554,0.0018250956890578341,3
mean,40.89079921305462,0.22377515153168218,57.415584048381156,0.1487580372809086,-7.069738847298446e-05,4.993001294053057e-05,3
