grupo,n_filas,co2_real_medio,co2_pred_medio,mae,rmse,r2,error_relativo_pct
MAZDA CX-5,2763,143.32283749547594,143.06289672851562,6.019963035624915,7.757597632642172,0.6332087379983435,4.2002817839933835
SUBARU XV,277,155.31768953068593,150.6312255859375,6.003663458979087,8.547492448101345,0.1526053090022823,3.8654086840462245
NUEVO SUV C5 AIRCROSS,166,106.7289156626506,112.03907775878906,5.981230770248964,6.78133410951482,0.9073784426488126,5.604133362653542
LOGAN MCV,212,105.59433962264151,109.92220306396484,5.958093535225347,6.659447459254863,0.7443704820991486,5.642436475778493
SCIROCCO,393,137.88804071246818,135.12754821777344,5.93132558730419,7.8106721477890115,0.7922735577688009,4.301551865308262
SYMPHONY,328,62.0,56.0693359375,5.930663248387779,6.953881416399926,0.0,9.565585884496418
LEXUS LBX,208,103.2451923076923,109.16661834716797,5.921435136061448,5.968670171996514,-34.884636492414785,5.735313193484429
MEGANE 1.5,335,117.05373134328359,117.16209411621094,5.901241325264547,14.140334368912487,-24.67347289080083,5.0414807435381706
2008 STYLE 1.2 PURETEC,128,113.703125,107.9061279296875,5.889421761035919,5.976958152778985,-14.515387742683867,5.17964810644907
308,483,121.06347826086957,119.22868347167969,5.879669845296729,12.796956467343026,0.4262674557242411,4.856683394332286
308 5P ALLURE PURETECH,111,112.36936936936937,109.2225341796875,5.876782666455518,6.953167945643679,0.24690219029532656,5.2298795476353925
RANGE ROVER VELAR,206,158.14563106796118,161.80775451660156,5.864717298341029,7.360887841724867,0.9469694903587328,3.7084282750882553
FORFOUR,447,101.23713646532438,104.37361907958984,5.864623818621539,6.5947753331136285,0.4411538551629204,5.79295703472439
JAGUAR E-PACE,168,160.42857142857142,155.99684143066406,5.860622451418922,10.527742368330921,0.7551711385576907,3.653103932318117
COMBO,164,121.3719512195122,125.44071197509766,5.848709990338581,7.4296042739783354,0.7722051236314084,4.818831642378937
OCTAVIA,1752,114.51997716894977,115.18550109863281,5.82733426028735,9.028873213905866,0.6394000656892249,5.088487095740827
MEGANE SPORT TOURER,706,109.48583569405099,114.55711364746094,5.812475998746099,7.065337155920513,0.7439463333895138,5.308883986590354
TRANSIT CUSTOM,2001,174.2703648175912,174.87811279296875,5.801587346432985,8.064578778703972,0.8590972029910897,3.3290728188384215
